Información relacionada a:,Estímulos, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LOS ESTÍMULOS","MONTO BRUTO DE LOS ESTÍMULOS","MONTO NETO DE LOS ESTÍMULOS","TIPO DE MONEDA DE LOS ESTÍMULOS","PERIODICIDAD DE LOS ESTÍMULOS"
198420893,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","32600.72","32600.72","PESOS MEXICANOS","MENSUAL"
198421172,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198421175,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","37125.81","37125.81","PESOS MEXICANOS","MENSUAL"
198421177,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","32600.72","32600.72","PESOS MEXICANOS","MENSUAL"
198421623,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","31400.72","31400.72","PESOS MEXICANOS","MENSUAL"
198421712,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","31275.63","31275.63","PESOS MEXICANOS","MENSUAL"
198421715,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198421716,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198421717,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","31275.63","31275.63","PESOS MEXICANOS","MENSUAL"
198421809,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198421813,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198421981,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198421982,"11/08/22","11/08/22","ESTIMULO ACADEMICO","23400.72","23400.72","PESOS MEXICANOS","MENSUAL"
198422075,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","37125.81","37125.81","PESOS MEXICANOS","MENSUAL"
198422076,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","31275.63","31275.63","PESOS MEXICANOS","MENSUAL"
198422077,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","37125.81","37125.81","PESOS MEXICANOS","MENSUAL"
198422079,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","25550.54","25550.54","PESOS MEXICANOS","MENSUAL"
198422273,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","28350.54","28350.54","PESOS MEXICANOS","MENSUAL"
198422460,"11/08/22","11/08/22","ESTIMULO ACADEMICO","23400.72","23400.72","PESOS MEXICANOS","MENSUAL"
198422488,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198422489,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","26750.54","26750.54","PESOS MEXICANOS","MENSUAL"
198422503,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","37125.81","37125.81","PESOS MEXICANOS","MENSUAL"
198422507,"11/08/22","11/08/22","BECAS","9200","9200","PESOS MEXICANOS","MENSUAL"
198422796,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","32600.72","32600.72","PESOS MEXICANOS","MENSUAL"
198422800,"11/08/22","11/08/22","ESTIMULO ACADEMICO","5850.18","5850.18","PESOS MEXICANOS","MENSUAL"
198422863,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","31275.63","31275.63","PESOS MEXICANOS","MENSUAL"
198422865,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198422867,"11/08/22","11/08/22","ESTIMULO ACADEMICO","2925.09","2925.09","PESOS MEXICANOS","MENSUAL"
198423014,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","31275.63","31275.63","PESOS MEXICANOS","MENSUAL"
198423015,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","32600.72","32600.72","PESOS MEXICANOS","MENSUAL"
198423016,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","37125.81","37125.81","PESOS MEXICANOS","MENSUAL"
198423017,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","37125.81","37125.81","PESOS MEXICANOS","MENSUAL"
198423186,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","31275.63","31275.63","PESOS MEXICANOS","MENSUAL"
198426041,"11/08/22","11/08/22","ESTIMULO ACADEMICO","11700.36","11700.36","PESOS MEXICANOS","MENSUAL"
198423290,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198423291,"11/08/22","11/08/22","ESTIMULO ACADEMICO","20475.63","20475.63","PESOS MEXICANOS","MENSUAL"
198423295,"11/08/22","11/08/22","BECAS","9200","9200","PESOS MEXICANOS","MENSUAL"
198423309,"11/08/22","11/08/22","ESTIMULO ACADEMICO","20475.63","20475.63","PESOS MEXICANOS","MENSUAL"
198423312,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198423357,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","31275.63","31275.63","PESOS MEXICANOS","MENSUAL"
198423358,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198423360,"11/08/22","11/08/22","ESTIMULO ACADEMICO","14625.45","14625.45","PESOS MEXICANOS","MENSUAL"
198423361,"11/08/22","11/08/22","ESTIMULO ACADEMICO","11700.36","11700.36","PESOS MEXICANOS","MENSUAL"
198423429,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198423432,"11/08/22","11/08/22","ESTIMULO ACADEMICO","8775.27","8775.27","PESOS MEXICANOS","MENSUAL"
198423433,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198423470,"11/08/22","11/08/22","ESTIMULO ACADEMICO","8775.27","8775.27","PESOS MEXICANOS","MENSUAL"
198423472,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198423771,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","32600.72","32600.72","PESOS MEXICANOS","MENSUAL"
198423772,"11/08/22","11/08/22","BECAS","8000","8000","PESOS MEXICANOS","MENSUAL"
198423773,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","35525.81","35525.81","PESOS MEXICANOS","MENSUAL"
198423931,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","32600.72","32600.72","PESOS MEXICANOS","MENSUAL"
198426115,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198426200,"11/08/22","11/08/22","ESTIMULO ACADEMICO","20475.63","20475.63","PESOS MEXICANOS","MENSUAL"
198426233,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","31275.63","31275.63","PESOS MEXICANOS","MENSUAL"
198424023,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198424068,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","31275.63","31275.63","PESOS MEXICANOS","MENSUAL"
198424069,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","31400.72","31400.72","PESOS MEXICANOS","MENSUAL"
198424171,"11/08/22","11/08/22","BECAS","8000","8000","PESOS MEXICANOS","MENSUAL"
198420515,"11/08/22","11/08/22","ESTIMULO ACADEMICO","17550.54","17550.54","PESOS MEXICANOS","MENSUAL"
198420611,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","37125.81","37125.81","PESOS MEXICANOS","MENSUAL"
198420707,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","29675.63","29675.63","PESOS MEXICANOS","MENSUAL"
198420801,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","28350.54","28350.54","PESOS MEXICANOS","MENSUAL"
198420901,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198421629,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","32600.72","32600.72","PESOS MEXICANOS","MENSUAL"
198421719,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198421723,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198421890,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198421987,"11/08/22","11/08/22","ESTIMULO ACADEMICO","8775.27","8775.27","PESOS MEXICANOS","MENSUAL"
198421989,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","34200.72","34200.72","PESOS MEXICANOS","MENSUAL"
198422082,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","29675.63","29675.63","PESOS MEXICANOS","MENSUAL"
198422084,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","29675.63","29675.63","PESOS MEXICANOS","MENSUAL"
198422183,"11/08/22","11/08/22","BECAS","10800","10800","PESOS MEXICANOS","MENSUAL"
198422491,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","28475.63","28475.63","PESOS MEXICANOS","MENSUAL"
198422508,"11/08/22","11/08/22","ESTIMULO ACADEMICO","20475.63","20475.63","PESOS MEXICANOS","MENSUAL"
198422802,"11/08/22","11/08/22","ESTIMULO ACADEMICO","8775.27","8775.27","PESOS MEXICANOS","MENSUAL"
198422805,"11/08/22","11/08/22","ESTIMULO ACADEMICO,BECAS","28475.63","28475.63","PESOS MEXICANOS","MENSUAL"
