Información relacionada a:,Prestaciones económicas, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LAS PRESTACIONES ECONÓMICAS","MONTO BRUTO DE LAS PRESTACIONES ECONÓMICAS","MONTO NETO DE LAS PRESTACIONES ECONÓMICAS","TIPO DE MONEDA DE LAS PRESTACIONES ECONÓMICAS","PERIODICIDAD DE LAS PRESTACIONES ECONÓMICAS"
198431802,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","23414.18","23414.18","PESOS MEXICANOS","ANUAL"
198428765,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","11774.15","11774.15","PESOS MEXICANOS","ANUAL"
198429049,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","55379.35","55379.35","PESOS MEXICANOS","ANUAL"
198427628,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","9460.41","9460.41","PESOS MEXICANOS","ANUAL"
198427629,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","53544.97","53544.97","PESOS MEXICANOS","ANUAL"
198445046,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","19973.29","19973.29","PESOS MEXICANOS","ANUAL"
198446622,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","7739.09","7739.09","PESOS MEXICANOS","ANUAL"
198445284,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","12903.32","12903.32","PESOS MEXICANOS","ANUAL"
198446072,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","7328.92","7328.92","PESOS MEXICANOS","ANUAL"
198444987,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","7943.91","7943.91","PESOS MEXICANOS","ANUAL"
198444988,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","6099.01","6099.01","PESOS MEXICANOS","ANUAL"
198445800,"11/08/22","11/08/22","ESTIMULO RECONOCIMIENTO ANTIG.","5886.21","5886.21","PESOS MEXICANOS","ANUAL"
198418582,"11/08/22","11/08/22","CLAUSULA QUINTA TRANSITORIA","20739.19","20739.19","PESOS MEXICANOS","ANUAL"
