Información relacionada a:,Percepciones adicionales en dinero, Monto bruto y neto, tipo de moneda y su periodicidad 
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LAS PERCEPCIONES ADICIONALES EN DINERO","MONTO BRUTO DE LAS PERCEPCIONES ADICIONALES EN DINERO","MONTO NETO DE LAS PERCEPCIONES ADICIONALES EN DINERO","TIPO DE MONEDA DE LAS PERCEPCIONES ADICIONALES EN DINERO","PERIODICIDAD DE LAS PERCEPCIONES ADICIONALES EN DINERO"
52579985,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52579986,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52579987,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580044,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580045,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580046,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580047,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580104,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580105,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580106,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580107,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580164,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580165,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580166,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580167,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580224,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580225,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580226,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580227,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580288,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580289,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580290,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580291,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580310,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580311,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580312,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580313,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580314,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580315,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580316,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580317,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580434,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580435,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580436,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580437,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580438,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580439,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580440,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580441,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580446,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
52580447,"17/07/22","17/07/22","NO APLICA","0","0","PESO","NULA"
