Información relacionada a:,Bonos, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LOS BONOS","MONTO BRUTO DE LOS BONOS","MONTO NETO DE LOS BONOS","TIPO DE MONEDA DE LOS BONOS","PERIODICIDAD DE LOS BONOS"
52580235,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580296,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580297,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580298,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580299,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580330,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580331,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580332,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580333,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580334,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580335,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580336,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580337,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580338,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580339,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580340,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580341,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580485,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580486,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580487,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580488,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580489,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580490,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580491,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580492,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580493,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580494,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580495,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580498,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580499,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580500,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580501,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580506,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580507,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580508,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52580509,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579876,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579877,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579878,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579879,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579936,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579937,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579938,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579939,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579996,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
52579997,"17/07/22","17/07/22","NO APLICA","0","0","PESO","ANUAL MARZO"
