Información relacionada a:,Dietas, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LAS DIETAS","MONTO BRUTO DE LAS DIETAS","MONTO NETO DE LAS DIETAS","TIPO DE MONEDA DE LAS DIETAS","PERIODICIDAD DE LAS DIETAS"
112885765,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885766,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885767,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885768,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885769,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885770,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885771,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885772,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885773,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885774,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885743,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885744,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885745,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885746,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885747,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112885748,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112879494,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112879496,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112879498,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112879499,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112879501,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112879513,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112879515,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112879517,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112879519,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112879520,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112879551,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112879553,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112879554,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112879566,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112879568,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112879570,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112879572,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112879573,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112879490,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
112879492,"25/08/22","25/08/22","PESOS","0","0","MXN","MENSUAL"
