Información relacionada a:,Dietas, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LAS DIETAS","MONTO BRUTO DE LAS DIETAS","MONTO NETO DE LAS DIETAS","TIPO DE MONEDA DE LAS DIETAS","PERIODICIDAD DE LAS DIETAS"
52172611,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172612,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172613,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172614,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172615,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172616,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172707,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172714,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172715,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172716,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172717,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172718,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172725,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172726,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172727,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172728,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172729,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172730,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172743,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172744,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172745,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172746,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172747,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172748,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172767,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172768,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172769,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172770,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172771,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172772,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172797,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172798,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172799,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172800,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172801,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172802,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172827,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172828,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172829,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172830,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172831,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172832,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172911,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172912,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172913,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172914,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172915,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172916,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172959,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172960,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172961,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172962,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172963,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172964,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173017,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173018,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173019,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173020,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173021,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173022,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173083,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173084,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173085,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173086,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173087,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173088,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173155,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173156,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173157,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173158,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173159,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173160,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173227,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172329,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172330,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172331,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172332,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172333,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172334,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172425,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172426,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172427,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172428,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172429,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172430,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172521,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172522,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172523,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172524,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172525,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172526,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172617,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172618,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172619,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172620,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172621,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172622,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172731,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172732,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172733,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172734,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172735,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172736,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172749,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172750,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172751,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172752,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172753,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172754,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172773,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172774,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172775,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172776,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172777,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172778,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172803,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172804,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172805,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172806,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172807,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172808,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172833,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172834,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172835,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172836,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172837,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172838,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172869,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172870,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172871,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172872,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172873,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172874,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172965,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172966,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172967,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172968,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172969,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172970,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173023,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173024,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173025,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173026,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173027,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173028,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173089,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173090,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173091,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173092,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173093,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173094,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173161,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173162,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173163,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173164,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173165,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173166,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173252,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173253,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173254,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173255,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173256,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173257,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173264,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173265,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173266,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173267,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173268,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173269,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173282,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173283,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173284,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173285,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173286,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52173287,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
52172289,"08/08/22","08/08/22","NO APLICA","0","0","NO APLICA","NO APLICA"
