Información relacionada a:,Primas, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LAS PRIMAS","MONTO BRUTO DE LAS PRIMAS","MONTO NETO DE LAS PRIMAS","TIPO DE MONEDA DE LAS PRIMAS","PERIODICIDAD DE LAS PRIMAS"
1583467490,"13/07/22","13/07/22","Compensación por antigüedad","871.36","","MN","MENSUAL"
1583467491,"13/07/22","13/07/22","Compensación por antigüedad","19891.12","","MN","MENSUAL"
1583467492,"13/07/22","13/07/22","Compensación por antigüedad","19095.48","","MN","MENSUAL"
1583467493,"13/07/22","13/07/22","Compensación por antigüedad","5040.2","","MN","MENSUAL"
1583467998,"13/07/22","13/07/22","Compensación por antigüedad","11964.3","","MN","MENSUAL"
1583467999,"13/07/22","13/07/22","Compensación por antigüedad","2710.94","","MN","MENSUAL"
1583468140,"13/07/22","13/07/22","Compensación por antigüedad","4934.32","","MN","MENSUAL"
1583468141,"13/07/22","13/07/22","Compensación por antigüedad","10533.34","","MN","MENSUAL"
1583468142,"13/07/22","13/07/22","Compensación por antigüedad","2496.88","","MN","MENSUAL"
1583468379,"13/07/22","13/07/22","Compensación por antigüedad","16231.16","","MN","MENSUAL"
1583468470,"13/07/22","13/07/22","Compensación por antigüedad","5083.02","","MN","MENSUAL"
1583468471,"13/07/22","13/07/22","Compensación por antigüedad","6447.36","","MN","MENSUAL"
1583468567,"13/07/22","13/07/22","Compensación por antigüedad","4840.98","","MN","MENSUAL"
1583468568,"13/07/22","13/07/22","Compensación por antigüedad","6864.5","","MN","MENSUAL"
1583468642,"13/07/22","13/07/22","Compensación por antigüedad","9186.5","","MN","MENSUAL"
1583468829,"13/07/22","13/07/22","Compensación por antigüedad","5150.16","","MN","MENSUAL"
1583468830,"13/07/22","13/07/22","Compensación por antigüedad","15117.26","","MN","MENSUAL"
1583468831,"13/07/22","13/07/22","Compensación por antigüedad","4598.94","","MN","MENSUAL"
1583468881,"13/07/22","13/07/22","Compensación por antigüedad","9333.2","","MN","MENSUAL"
1583468972,"13/07/22","13/07/22","Compensación por antigüedad","10432.22","","MN","MENSUAL"
1583469023,"13/07/22","13/07/22","Compensación por antigüedad","3679.14","","MN","MENSUAL"
1583469024,"13/07/22","13/07/22","Compensación por antigüedad","14321.6","","MN","MENSUAL"
1583469264,"13/07/22","13/07/22","Compensación por antigüedad","2891.67","","MN","MENSUAL"
1583469265,"13/07/22","13/07/22","Compensación por antigüedad","4846.2","","MN","MENSUAL"
1583469266,"13/07/22","13/07/22","Compensación por antigüedad","2907.72","","MN","MENSUAL"
1583469502,"13/07/22","13/07/22","Compensación por antigüedad","4899.98","","MN","MENSUAL"
1583469543,"13/07/22","13/07/22","Compensación por antigüedad","12397.68","","MN","MENSUAL"
1583469544,"13/07/22","13/07/22","Compensación por antigüedad","4196.43","","MN","MENSUAL"
1583469545,"13/07/22","13/07/22","Compensación por antigüedad","11457.28","","MN","MENSUAL"
1583469634,"13/07/22","13/07/22","Compensación por antigüedad","2323.66","","MN","MENSUAL"
1583469635,"13/07/22","13/07/22","Compensación por antigüedad","3485.5","","MN","MENSUAL"
1583469683,"13/07/22","13/07/22","Compensación por antigüedad","7128.54","","MN","MENSUAL"
1583469684,"13/07/22","13/07/22","Compensación por antigüedad","3357.86","","MN","MENSUAL"
1583469685,"13/07/22","13/07/22","Compensación por antigüedad","10820.76","","MN","MENSUAL"
1583467907,"13/07/22","13/07/22","Compensación por antigüedad","12353","","MN","MENSUAL"
1583467908,"13/07/22","13/07/22","Compensación por antigüedad","7269.3","","MN","MENSUAL"
1583467909,"13/07/22","13/07/22","Compensación por antigüedad","1530.16","","MN","MENSUAL"
1583468001,"13/07/22","13/07/22","Compensación por antigüedad","6294.66","","MN","MENSUAL"
1583468002,"13/07/22","13/07/22","Compensación por antigüedad","4603.88","","MN","MENSUAL"
1583468050,"13/07/22","13/07/22","Compensación por antigüedad","4322.8","","MN","MENSUAL"
1583468099,"13/07/22","13/07/22","Compensación por antigüedad","10820.76","","MN","MENSUAL"
1583468100,"13/07/22","13/07/22","Compensación por antigüedad","5567.12","","MN","MENSUAL"
1583468101,"13/07/22","13/07/22","Compensación por antigüedad","7207.72","","MN","MENSUAL"
1583468143,"13/07/22","13/07/22","Compensación por antigüedad","18299.84","","MN","MENSUAL"
1583468144,"13/07/22","13/07/22","Compensación por antigüedad","6598.22","","MN","MENSUAL"
1583468145,"13/07/22","13/07/22","Compensación por antigüedad","11666.76","","MN","MENSUAL"
1583468190,"13/07/22","13/07/22","Compensación por antigüedad","10483.14","","MN","MENSUAL"
1583468191,"13/07/22","13/07/22","Compensación por antigüedad","8431.06","","MN","MENSUAL"
1583468192,"13/07/22","13/07/22","Compensación por antigüedad","6289.88","","MN","MENSUAL"
1583468239,"13/07/22","13/07/22","Compensación por antigüedad","6168.38","","MN","MENSUAL"
1583468240,"13/07/22","13/07/22","Compensación por antigüedad","17504.2","","MN","MENSUAL"
1583468278,"13/07/22","13/07/22","Compensación por antigüedad","14949.48","","MN","MENSUAL"
