Información relacionada a:,Ingresos, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LOS INGRESOS","MONTO BRUTO DE LOS INGRESOS","MONTO NETO DE LOS INGRESOS","TIPO DE MONEDA DE LOS INGRESOS","PERIODICIDAD DE LOS INGRESOS"
1583468571,"13/07/22","13/07/22","SALARIO BASE","10243.96","10243.96","MN","MENSUAL"
1583468595,"13/07/22","13/07/22","SALARIO BASE","31825.82","31825.82","MN","MENSUAL"
1583468643,"13/07/22","13/07/22","SALARIO BASE","11444.85","11444.85","MN","MENSUAL"
1583468644,"13/07/22","13/07/22","SALARIO BASE","11444.85","11444.85","MN","MENSUAL"
1583468645,"13/07/22","13/07/22","SALARIO BASE","7705.81","7705.81","MN","MENSUAL"
1583468692,"13/07/22","13/07/22","SALARIO BASE","22559.29","22559.29","MN","MENSUAL"
1583468693,"13/07/22","13/07/22","SALARIO BASE","23182.75","23182.75","MN","MENSUAL"
1583468695,"13/07/22","13/07/22","SALARIO BASE","31825.82","31825.82","MN","MENSUAL"
1583468742,"13/07/22","13/07/22","SALARIO BASE","29816.14","29816.14","MN","MENSUAL"
1583468743,"13/07/22","13/07/22","SALARIO BASE","10753.79","10753.79","MN","MENSUAL"
1583468744,"13/07/22","13/07/22","SALARIO BASE","29816.14","29816.14","MN","MENSUAL"
1583468785,"13/07/22","13/07/22","SALARIO BASE","9164.58","9164.58","MN","MENSUAL"
1583468787,"13/07/22","13/07/22","SALARIO BASE","7835.82","7835.82","MN","MENSUAL"
1583468788,"13/07/22","13/07/22","SALARIO BASE","12115.5","12115.5","MN","MENSUAL"
1583468832,"13/07/22","13/07/22","SALARIO BASE","21483.5","21483.5","MN","MENSUAL"
1583468833,"13/07/22","13/07/22","SALARIO BASE","23182.75","23182.75","MN","MENSUAL"
1583468834,"13/07/22","13/07/22","SALARIO BASE","25934.11","25934.11","MN","MENSUAL"
1583468882,"13/07/22","13/07/22","SALARIO BASE","9681.98","9681.98","MN","MENSUAL"
1583468883,"13/07/22","13/07/22","SALARIO BASE","12894.73","12894.73","MN","MENSUAL"
1583468884,"13/07/22","13/07/22","SALARIO BASE","7835.82","7835.82","MN","MENSUAL"
1583468931,"13/07/22","13/07/22","SALARIO BASE","21483.5","21483.5","MN","MENSUAL"
1583468932,"13/07/22","13/07/22","SALARIO BASE","9681.98","9681.98","MN","MENSUAL"
1583468934,"13/07/22","13/07/22","SALARIO BASE","7835.82","7835.82","MN","MENSUAL"
1583468975,"13/07/22","13/07/22","SALARIO BASE","9681.98","9681.98","MN","MENSUAL"
