Información relacionada a:,Apoyos económicos, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LOS APOYOS ECONÓMICOS","MONTO BRUTO DE LOS APOYOS ECONÓMICOS","MONTO NETO DE LOS APOYOS ECONÓMICOS","TIPO DE MONEDA DE LOS APOYOS ECONÓMICOS","PERIODICIDAD DE LOS APOYOS ECONÓMICOS"
51772368,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51772135,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51771465,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51774295,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51772509,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51772129,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51772503,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51772060,"18/08/22","18/08/22","GUARDERIA","2976.48","2976.48","PESOS MEXICANOS","MENSUAL"
51771242,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51770419,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51772054,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51768839,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51773330,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51772567,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51772114,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51771009,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51770921,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51774199,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51770316,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51774079,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51771429,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51770617,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51769035,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51773665,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51774008,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51773659,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51773300,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51772849,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51772843,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51770291,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51768802,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51768802,"18/08/22","18/08/22","CANASTILLA","760","760","PESOS MEXICANOS","MENSUAL"
51772603,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51770592,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51769005,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51776914,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51775760,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51775088,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51774863,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51774564,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51777220,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51774558,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51775459,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51777506,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51776975,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51776203,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51775154,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51774332,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51774326,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51777202,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51776733,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51776430,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51775899,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51777488,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51774688,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51777263,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51774387,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51774900,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51774522,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51777460,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51777170,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51777094,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51776618,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51775868,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51774888,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51774510,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51776235,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51777534,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51777076,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51777149,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51776077,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51775928,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51775395,"18/08/22","18/08/22","GUARDERIA","1280","1280","PESOS MEXICANOS","MENSUAL"
51775927,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51776076,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
51777148,"18/08/22","18/08/22","GUARDERIA","640","640","PESOS MEXICANOS","MENSUAL"
