Información relacionada a:,Bonos, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LOS BONOS","MONTO BRUTO DE LOS BONOS","MONTO NETO DE LOS BONOS","TIPO DE MONEDA DE LOS BONOS","PERIODICIDAD DE LOS BONOS"
51767284,"18/08/22","18/08/22","Herramientas de Trabajo","6000","6000","PESOS MEXICANOS","MENSUAL"
51767211,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51767211,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51768191,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51768191,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51768185,"18/08/22","18/08/22","Herramientas de Trabajo","5000","5000","PESOS MEXICANOS","MENSUAL"
51768178,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51768178,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51768178,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51768166,"18/08/22","18/08/22","Herramientas de Trabajo","5000","5000","PESOS MEXICANOS","MENSUAL"
51768154,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51768154,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51768154,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51768148,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51768148,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51768148,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51767992,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767992,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51767992,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51767845,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767845,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51767845,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51767702,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767702,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51767702,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51767624,"18/08/22","18/08/22","Herramientas de Trabajo","12500","12500","PESOS MEXICANOS","MENSUAL"
51767478,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767478,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51767478,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51767205,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767205,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51767205,"18/08/22","18/08/22","Material Didáctico 9% sobre sueldo tabular","","","PESOS MEXICANOS","MENSUAL"
51767205,"18/08/22","18/08/22","Herramientas de Trabajo","14500","14500","PESOS MEXICANOS","MENSUAL"
51767205,"18/08/22","18/08/22","Despensa 7% sobre sueldo tabular","","","PESOS MEXICANOS","MENSUAL"
51767054,"18/08/22","18/08/22","Herramientas de Trabajo","3000","3000","PESOS MEXICANOS","MENSUAL"
51766970,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51766970,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51766970,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51766896,"18/08/22","18/08/22","Herramientas de Trabajo","3000","3000","PESOS MEXICANOS","MENSUAL"
51768459,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51768459,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51768459,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51768428,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51768428,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51768428,"18/08/22","18/08/22","Material Didáctico 9% sobre sueldo tabular","","","PESOS MEXICANOS","MENSUAL"
51768428,"18/08/22","18/08/22","Herramientas de Trabajo","9340","9340","PESOS MEXICANOS","MENSUAL"
51768428,"18/08/22","18/08/22","Despensa 7% sobre sueldo tabular","","","PESOS MEXICANOS","MENSUAL"
51768416,"18/08/22","18/08/22","Herramientas de Trabajo","1000","1000","PESOS MEXICANOS","MENSUAL"
51768403,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51768403,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51768403,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51767986,"18/08/22","18/08/22","Herramientas de Trabajo","25000","25000","PESOS MEXICANOS","MENSUAL"
51767769,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51767769,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51767199,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767199,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51767199,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51767126,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767126,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51767126,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51768396,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767769,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767696,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767696,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51767696,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51767618,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767618,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51767618,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51767547,"18/08/22","18/08/22","Herramientas de Trabajo","2000","2000","PESOS MEXICANOS","MENSUAL"
51767048,"18/08/22","18/08/22","Herramientas de Trabajo","6000","6000","PESOS MEXICANOS","MENSUAL"
51766964,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51766964,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51766964,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51768396,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51768396,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51768390,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51768390,"18/08/22","18/08/22","Material Didáctico 9% sobre sueldo tabular","","","PESOS MEXICANOS","MENSUAL"
51768384,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51768384,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51768384,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51768390,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51768390,"18/08/22","18/08/22","Herramientas de Trabajo","14500","14500","PESOS MEXICANOS","MENSUAL"
51768390,"18/08/22","18/08/22","Despensa 7% sobre sueldo tabular","","","PESOS MEXICANOS","MENSUAL"
51768378,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51768378,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51768378,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51767980,"18/08/22","18/08/22","Herramientas de Trabajo","2500","2500","PESOS MEXICANOS","MENSUAL"
51767911,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767911,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51767911,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51767833,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767833,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51767833,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51767763,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767763,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51767763,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51767690,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767690,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51767690,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51767612,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767612,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51767612,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51767541,"18/08/22","18/08/22","Herramientas de Trabajo","2478.98","2478.98","PESOS MEXICANOS","MENSUAL"
51767392,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51767392,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51767386,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767386,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51767386,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51767392,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767272,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767272,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51767272,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51767198,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767198,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51767198,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51767120,"18/08/22","18/08/22","Herramientas de Trabajo","6000","6000","PESOS MEXICANOS","MENSUAL"
51766958,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51766958,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51766958,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51768372,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51768372,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51768372,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51768353,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51768353,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51768353,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51768335,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51768335,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51768335,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51767974,"18/08/22","18/08/22","Herramientas de Trabajo","4000","4000","PESOS MEXICANOS","MENSUAL"
51767757,"18/08/22","18/08/22","Herramientas de Trabajo","14500","14500","PESOS MEXICANOS","MENSUAL"
51767684,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767684,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51767684,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51767611,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767611,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
51767611,"18/08/22","18/08/22","Despensa","690","690","PESOS MEXICANOS","MENSUAL"
51767338,"18/08/22","18/08/22","Uniforme","135","135","PESOS MEXICANOS","MENSUAL"
51767338,"18/08/22","18/08/22","Transporte","240","240","PESOS MEXICANOS","MENSUAL"
